node,module
Dyoplosaurus_acutosquameus,1
Parasaurolophus _walkeri,1
Corythosaurus_casuarius,1
Daspletosaurus_sp. ,1
Struthiomimus_altus,1
Rativates_evadens,1
Gryposaurus_notabilis,1
Saurornitholestes_langstoni,1
Chasmosaurus_russelli,1
Centrosaurus_apertus,1
1a,1
Orodrominae_indet ,1
Caenagnathus_collinsi,2
Citipes_elegans,2
cf. Qiupalong_sp.,2
Unescoceratops_koppelhusae,2
Corythosaurus_intermedius,2
1b,2
Chirostenotes_pergracilis,2
Stegoceras _validum,3
Chasmosaurus_belli,3
Lambeosaurus_clavinitalis,3
Leptoceratops_,3
2a,3
Ornithomimus_edmontonicus,3
Panoplosaurus_mirus,3
Edmontonia_ rugosidens,3
Euoplocephalus_tutus,3
Hesperonychus_elizabethae,3
2b,4
Prosaurolophus_maximus,4
Lambeosaurus_lambei,4
Chasmosaurus_irvinensis,4
Vagaceratops_irvinensis,4
Gorgosaurus _libratus,4
Stenonychosaurus_inequalis,4
Styracosaurus _albertensis,4
Lambeosaurus_magnicristatus,4
