from,to,weight,time
1a,234,1,1
1a,244,2,1
1a,335,1,1
1a,344,1,1
1a,444,1,1
1a,544,3,1
1a,622,1,1
1a,626,1,1
1a,716,2,1
1a,721,1,1
1a,722,1,1
1a,754,2,1
1a,821,2,1
1a,831,1,1
1a,926,1,1
1b,224,1,2
1b,234,1,2
1b,244,2,2
1b,335,1,2
1b,344,1,2
1b,432,1,2
1b,444,1,2
1b,544,3,2
1b,622,1,2
1b,626,1,2
1b,716,1,2
1b,721,2,2
1b,722,2,2
1b,754,1,2
1b,821,2,2
1b,926,1,2
2a,133,1,3
2a,224,1,3
2a,244,2,3
2a,432,1,3
2a,444,1,3
2a,544,2,3
2a,626,1,3
2a,716,1,3
2a,722,2,3
2a,754,1,3
2a,821,2,3
2a,926,1,3
2a,931,1,3
2b,244,2,4
2b,444,1,4
2b,622,1,4
2b,721,1,4
2b,722,2,4
2b,754,1,4
2b,821,1,4
2b,931,1,4
