from,to,weight,time
Howe-Stephens Quarry,111,1,Zone 2
Little Houston Quarry,111,1,Zone 2
Marsh-Felch Quarry,111,1,Zone 3
Mygatt-Moore Quarry,111,1,Zone 4
Reed's Quarry 9,111,1,Zone 5
Bone Cabin Quarry,1111,1,Zone 2
Bone Cabin Quarry,116,1,Zone 2
Dry Mesa Quarry,116,1,Zone 4
Cleveland-Lloyd Quarry,137,1,Zone 5
Bone Cabin Quarry,141,1,Zone 2
Dinosaur National Monument Quarry,141,1,Zone 5
Dry Mesa Quarry,141,1,Zone 4
Hanksville-Burpee Quarry,141,1,Zone 4
Howe-Stephens Quarry,141,1,Zone 2
Little Houston Quarry,141,1,Zone 2
Marsh-Felch Quarry,141,1,Zone 3
Rainbow Park Locality 94,141,1,Zone 6
Reed's Quarry 13,141,1,Zone 2
Reed's Quarry 9,141,1,Zone 5
Dry Mesa Quarry,147,1,Zone 4
Cleveland-Lloyd Quarry,167,1,Zone 5
Dinosaur National Monument Quarry,167,1,Zone 5
Dry Mesa Quarry,167,1,Zone 4
Marsh-Felch Quarry,167,1,Zone 3
Mygatt-Moore Quarry,167,1,Zone 4
Bone Cabin Quarry,173,1,Zone 2
Cleveland-Lloyd Quarry,173,1,Zone 5
Dinosaur National Monument Quarry,173,1,Zone 5
Dry Mesa Quarry,173,1,Zone 4
Howe Quarry ,173,1,Zone 0
Little Houston Quarry,173,1,Zone 2
Marsh-Felch Quarry,173,1,Zone 3
Poison Creek Quarry,173,1,Zone 2
Rainbow Park Locality 94,173,1,Zone 6
Reed's Quarry 13,173,1,Zone 2
Reed's Quarry 9,173,1,Zone 5
Stovall Quarry 1,173,1,Zone 5
Cleveland-Lloyd Quarry,187,1,Zone 5
Dinosaur National Monument Quarry,187,1,Zone 5
Dry Mesa Quarry,187,1,Zone 4
Nail Quarry,187,1,Zone 4
Bone Cabin Quarry,188,1,Zone 2
Cleveland-Lloyd Quarry,188,1,Zone 5
Cope's Nipple,188,1,Zone 6
Dinosaur National Monument Quarry,188,1,Zone 5
