node,module
Stovall Quarry 1,1
FPA General,1
class 15non-selective browsergraviportal,1
Nail Quarry,1
Reed's Quarry 12,1
class 2carnivoresub-cursorial,1
class 2carnivorecursorial,1
class 12non-selective grazergraviportal,1
class 10non-selective grazergraviportal,1
class 11non-selective browserGraviportal,1
Reed's Quarry 13,1
Reed's Quarry 8,1
class 4non-selective grazercursorial,2
Marsh-Felch Quarry,2
Reed's Quarry 9,2
class 11grazergraviportal,2
Dinosaur National Monument Quarry,2
class 1omnivorecursorial,2
class 1non-selective grazercursorial,2
Little Houston Quarry,2
Rainbow Park Locality 94,2
class 7non-selective mixed feedersub-cursorial,2
Cope's Nipple,3
Poison Creek Quarry,3
Mygatt-Moore Quarry,3
class 8hypercarnivoreSub-Cursorial,3
Hanksville-Burpee Quarry,3
class 6selective browsermediportal,3
class 13non-selective grazerGraviportal,3
class 13non-selective browserGraviportal,3
class 15grazergraviportal,3
Bone Cabin Quarry,4
Howe-Stephens Quarry,4
Howe Quarry,4
class 11non-selective mixed feedergraviportal,4
class 11non-selective grazergraviportal,4
class 9non-selective grazergraviportal,4
class 14non-selective mixed feedergraviportal,5
class 8carnivoresub-cursorial,5
class 6carnivoresub-cursorial,5
class 4carnivoresub-cursorial,5
class 3carnivorecursorial,5
Cleveland-Lloyd Quarry,5
class 6selective browsergraviportal,5
Dry Mesa Quarry,5
