from,to,weight
Bone Cabin Quarry,class 10non-selective grazergraviportal,1
Bone Cabin Quarry,class 11non-selective browserGraviportal,1
Bone Cabin Quarry,class 11non-selective grazergraviportal,1
Bone Cabin Quarry,class 11non-selective mixed feedergraviportal,2
Bone Cabin Quarry,class 13non-selective grazerGraviportal,1
Bone Cabin Quarry,class 1omnivorecursorial,1
Bone Cabin Quarry,class 2carnivorecursorial,1
Bone Cabin Quarry,class 4non-selective grazercursorial,1
Bone Cabin Quarry,class 6selective browsergraviportal,1
Bone Cabin Quarry,class 7non-selective mixed feedersub-cursorial,1
Bone Cabin Quarry,class 8hypercarnivoreSub-Cursorial,1
Cleveland-Lloyd Quarry,class 10non-selective grazergraviportal,1
Cleveland-Lloyd Quarry,class 11non-selective browserGraviportal,1
Cleveland-Lloyd Quarry,class 11non-selective mixed feedergraviportal,2
Cleveland-Lloyd Quarry,class 3carnivorecursorial,1
Cleveland-Lloyd Quarry,class 4carnivoresub-cursorial,1
Cleveland-Lloyd Quarry,class 6carnivoresub-cursorial,1
Cleveland-Lloyd Quarry,class 7non-selective mixed feedersub-cursorial,1
Cleveland-Lloyd Quarry,class 8carnivoresub-cursorial,1
Cleveland-Lloyd Quarry,class 8hypercarnivoreSub-Cursorial,1
Cope's Nipple,class 10non-selective grazergraviportal,1
Cope's Nipple,class 11non-selective browserGraviportal,1
Cope's Nipple,class 13non-selective grazerGraviportal,1
Cope's Nipple,class 15grazergraviportal,1
Cope's Nipple,class 8hypercarnivoreSub-Cursorial,1
Dinosaur National Monument Quarry,class 10non-selective grazergraviportal,1
Dinosaur National Monument Quarry,class 11grazergraviportal,1
Dinosaur National Monument Quarry,class 11non-selective browserGraviportal,1
Dinosaur National Monument Quarry,class 11non-selective mixed feedergraviportal,2
Dinosaur National Monument Quarry,class 13non-selective grazerGraviportal,1
Dinosaur National Monument Quarry,class 4non-selective grazercursorial,1
Dinosaur National Monument Quarry,class 6carnivoresub-cursorial,1
Dinosaur National Monument Quarry,class 7non-selective mixed feedersub-cursorial,1
Dinosaur National Monument Quarry,class 8carnivoresub-cursorial,1
Dinosaur National Monument Quarry,class 8hypercarnivoreSub-Cursorial,1
Dry Mesa Quarry,class 10non-selective grazergraviportal,1
Dry Mesa Quarry,class 11non-selective browserGraviportal,1
Dry Mesa Quarry,class 11non-selective mixed feedergraviportal,1
Dry Mesa Quarry,class 13non-selective grazerGraviportal,1
Dry Mesa Quarry,class 14non-selective mixed feedergraviportal,1
Dry Mesa Quarry,class 15non-selective browsergraviportal,1
Dry Mesa Quarry,class 1omnivorecursorial,1
Dry Mesa Quarry,class 2carnivorecursorial,1
Dry Mesa Quarry,class 4carnivoresub-cursorial,1
Dry Mesa Quarry,class 4non-selective grazercursorial,1
Dry Mesa Quarry,class 6carnivoresub-cursorial,1
Dry Mesa Quarry,class 6selective browsergraviportal,1
Dry Mesa Quarry,class 7non-selective mixed feedersub-cursorial,1
Dry Mesa Quarry,class 8carnivoresub-cursorial,1
Dry Mesa Quarry,class 8hypercarnivoreSub-Cursorial,1
FPA General,class 10non-selective grazergraviportal,1
FPA General,class 11non-selective browserGraviportal,1
FPA General,class 11non-selective mixed feedergraviportal,1
FPA General,class 13non-selective grazerGraviportal,1
FPA General,class 15non-selective browsergraviportal,1
FPA General,class 2carnivorecursorial,1
Hanksville-Burpee Quarry,class 11non-selective browserGraviportal,1
Hanksville-Burpee Quarry,class 11non-selective mixed feedergraviportal,1
Hanksville-Burpee Quarry,class 13non-selective grazerGraviportal,1
Hanksville-Burpee Quarry,class 4non-selective grazercursorial,1
Hanksville-Burpee Quarry,class 6selective browsermediportal,1
