from,to,weight,time_foster,time_turner,time_maidment
Bone Cabin Quarry,class 10non-selective grazergraviportal,1,2,2,6
Bone Cabin Quarry,class 11non-selective browserGraviportal,1,2,2,6
Bone Cabin Quarry,class 11non-selective grazergraviportal,1,2,2,6
Bone Cabin Quarry,class 11non-selective mixed feedergraviportal,2,2,2,6
Bone Cabin Quarry,class 13non-selective grazerGraviportal,1,2,2,6
Bone Cabin Quarry,class 1omnivorecursorial,1,2,2,6
Bone Cabin Quarry,class 2carnivorecursorial,1,2,2,6
Bone Cabin Quarry,class 4non-selective grazercursorial,1,2,2,6
Bone Cabin Quarry,class 6selective browsergraviportal,1,2,2,6
Bone Cabin Quarry,class 7non-selective mixed feedersub-cursorial,1,2,2,6
Bone Cabin Quarry,class 8hypercarnivoreSub-Cursorial,1,2,2,6
Cleveland-Lloyd Quarry,class 10non-selective grazergraviportal,1,5,3,4
Cleveland-Lloyd Quarry,class 11non-selective browserGraviportal,1,5,3,4
Cleveland-Lloyd Quarry,class 11non-selective mixed feedergraviportal,2,5,3,4
Cleveland-Lloyd Quarry,class 3carnivorecursorial,1,5,3,4
Cleveland-Lloyd Quarry,class 4carnivoresub-cursorial,1,5,3,4
Cleveland-Lloyd Quarry,class 6carnivoresub-cursorial,1,5,3,4
Cleveland-Lloyd Quarry,class 7non-selective mixed feedersub-cursorial,1,5,3,4
Cleveland-Lloyd Quarry,class 8carnivoresub-cursorial,1,5,3,4
Cleveland-Lloyd Quarry,class 8hypercarnivoreSub-Cursorial,1,5,3,4
Cope's Nipple,class 10non-selective grazergraviportal,1,6,4,5
Cope's Nipple,class 11non-selective browserGraviportal,1,6,4,5
Cope's Nipple,class 13non-selective grazerGraviportal,1,6,4,5
Cope's Nipple,class 15grazergraviportal,1,6,4,5
Cope's Nipple,class 8hypercarnivoreSub-Cursorial,1,6,4,5
Dinosaur National Monument Quarry,class 10non-selective grazergraviportal,1,5,3,4
Dinosaur National Monument Quarry,class 11grazergraviportal,1,5,3,4
Dinosaur National Monument Quarry,class 11non-selective browserGraviportal,1,5,3,4
Dinosaur National Monument Quarry,class 11non-selective mixed feedergraviportal,2,5,3,4
Dinosaur National Monument Quarry,class 13non-selective grazerGraviportal,1,5,3,4
Dinosaur National Monument Quarry,class 4non-selective grazercursorial,1,5,3,4
Dinosaur National Monument Quarry,class 6carnivoresub-cursorial,1,5,3,4
Dinosaur National Monument Quarry,class 7non-selective mixed feedersub-cursorial,1,5,3,4
Dinosaur National Monument Quarry,class 8carnivoresub-cursorial,1,5,3,4
Dinosaur National Monument Quarry,class 8hypercarnivoreSub-Cursorial,1,5,3,4
Dry Mesa Quarry,class 10non-selective grazergraviportal,1,4,2,4
Dry Mesa Quarry,class 11non-selective browserGraviportal,1,4,2,4
Dry Mesa Quarry,class 11non-selective mixed feedergraviportal,1,4,2,4
Dry Mesa Quarry,class 13non-selective grazerGraviportal,1,4,2,4
Dry Mesa Quarry,class 14non-selective mixed feedergraviportal,1,4,2,4
Dry Mesa Quarry,class 15non-selective browsergraviportal,1,4,2,4
Dry Mesa Quarry,class 1omnivorecursorial,1,4,2,4
Dry Mesa Quarry,class 2carnivorecursorial,1,4,2,4
Dry Mesa Quarry,class 4carnivoresub-cursorial,1,4,2,4
Dry Mesa Quarry,class 4non-selective grazercursorial,1,4,2,4
Dry Mesa Quarry,class 6carnivoresub-cursorial,1,4,2,4
Dry Mesa Quarry,class 6selective browsergraviportal,1,4,2,4
Dry Mesa Quarry,class 7non-selective mixed feedersub-cursorial,1,4,2,4
Dry Mesa Quarry,class 8carnivoresub-cursorial,1,4,2,4
Dry Mesa Quarry,class 8hypercarnivoreSub-Cursorial,1,4,2,4
FPA General,class 10non-selective grazergraviportal,1,4,na,4
FPA General,class 11non-selective browserGraviportal,1,4,na,4
FPA General,class 11non-selective mixed feedergraviportal,1,4,na,4
FPA General,class 13non-selective grazerGraviportal,1,4,na,4
