node,module
Bone Cabin Quarry,1
Mymoorapelta ,1
Nail Quarry,1
Diplodocinae indeterminate,1
Little Houston Quarry,1
Brachiosaurus ,1
Nanosaurus ,1
Poison Creek Quarry,1
Hesperosaurus ,1
Reed's Quarry 9,1
Kaatedocus ,1
Apatosaurus ,1
Howe Quarry (Brown's Historic),1
Hanksville-Burpee Quarry,1
Allosaurus ,1
Howe-Stephens Quarry,1
Haplocanthosaurus ,1
Brontosaurus ,1
Koparion ,1
Reed's Quarry 8,1
Reed's Quarry 13,1
Barosaurus ,1
Camarasaurus ,1
Camptosaurus ,1
Coelurus ,1
Diplodocus ,1
Dryosaurus ,1
Galeamopus ,1
Gargoyleosaurus ,1
Ornitholestes ,1
Stegosaurus ,1
Fosterovenator ,1
Reed's Quarry 12,1
Rainbow Park Locality 94,1
Howe Quarry,1
Marsh-Felch Quarry,2
"""Elaphrosaurus""",2
Nanosaurus,2
Mygatt-Moore Quarry,2
Mymoorapelta,2
Supersaurus,2
FPA General,2
Allosaurus,2
Apatosaurus,2
Cleveland-Lloyd Quarry,2
Barosaurus,2
Camarasaurus,2
Camptosaurus,2
Ceratosaurus,2
Diplodocus,2
Marshosaurus,2
Stegosaurus,2
coelurosaur indeterminate,2
Stokesosaurus,2
Cope's Nipple,2
Maraapunisaurus,2
Dinosaur National Monument Quarry,2
Dryosaurus,2
Haplocanthosaurus,2
Dry Mesa Quarry,2
Brachiosaurus,2
Coelurus,2
Gargoyleosaurus,2
Ornitholestes,2
Torvosaurus,2
Stovall Quarry 1,2
