node,module
Supersaurus,1
Cope's Nipple,1
Maraapunisaurus,1
Dinosaur National Monument Quarry,1
Dryosaurus,1
Haplocanthosaurus,1
Dry Mesa Quarry,1
Brachiosaurus,1
Coelurus,1
Gargoyleosaurus,1
Ornitholestes,1
FPA General,1
coelurosaur indeterminate,1
Marsh-Felch Quarry,1
"""Elaphrosaurus""",1
Nanosaurus,1
Mygatt-Moore Quarry,1
Mymoorapelta,1
Torvosaurus,1
Stokesosaurus,1
Stovall Quarry 1,1
Marshosaurus,1
Apatosaurus,1
Allosaurus,1
Cleveland-Lloyd Quarry,1
Barosaurus,1
Stegosaurus,1
Camptosaurus,1
Diplodocus,1
Camarasaurus,1
Ceratosaurus,1
Brachiosaurus ,2
Camarasaurus ,2
Coelurus ,2
Reed's Quarry 12,2
Fosterovenator ,2
Reed's Quarry 13,2
Reed's Quarry 8,2
Stegosaurus ,2
Nail Quarry,2
Brontosaurus ,2
Diplodocinae indeterminate,3
Little Houston Quarry,3
Nanosaurus ,3
Howe Quarry,3
Mymoorapelta ,3
Allosaurus ,3
Hanksville-Burpee Quarry,3
Dryosaurus ,3
Reed's Quarry 9,3
Apatosaurus ,4
Howe Quarry (Brown's Historic),4
Haplocanthosaurus ,4
Camptosaurus ,4
Koparion ,4
Diplodocus ,4
Poison Creek Quarry,4
Kaatedocus ,4
Rainbow Park Locality 94,4
Howe-Stephens Quarry,5
Hesperosaurus ,5
Galeamopus ,5
Gargoyleosaurus ,5
Ornitholestes ,5
Barosaurus ,5
Bone Cabin Quarry,5
